id,skills_in_desc
123384419,Python
123470721,SQL
123470721,Python
123470721,R
123470721,Power BI
123470721,Tableau
123470721,Excel
123470721,Airflow
123518227,SQL
123518227,Excel
123526880,Excel
121569200,Excel
121569200,Google Sheets
121850363,SQL
121850363,Python
121850363,Power BI
121850363,Excel
122831455,Excel
123377132,SQL
123377132,Power BI
122274856,SQL
122274856,PostgreSQL
122274856,Agile
122274856,Jira
122274856,Confluence
122274856,Kubernetes
122954711,SQL
123356243,Excel
122150405,SQL
122150405,Python
122150405,Статистика
123166981,SQL
123166981,PostgreSQL
123166981,ClickHouse
123166981,Kafka
123166981,REST API
123412610,Excel
123467058,SQL
123467058,PostgreSQL
123467058,ClickHouse
123467058,MongoDB
123467058,Airflow
123467058,AWS
123467058,Azure
123467058,ETL
123467058,Informatica
123467058,Talend
123467058,SSIS
123467058,Apache NiFi
122219643,SQL
122219643,MongoDB
122219643,Jira
122219643,Confluence
123292298,Excel
123292298,Google Sheets
123460487,Excel
123496598,Excel
123527022,Python
123527022,Excel
123474856,Excel
123531794,Tableau
123531794,Excel
122367668,SQL
122367668,Power BI
122367668,Tableau
122367668,Scrum
122367668,Agile
122367668,Kanban
123455878,Excel
123489191,Excel
123303421,CI/CD
123538114,SQL
123538114,Python
123538114,Excel
123538114,Google Sheets
123538114,DWH
115248288,SQL
121091720,SQL
121091720,Python
121091720,R
121091720,Power BI
121091720,Tableau
121091720,Excel
121091720,Hadoop
121091720,Azure
123212734,SQL
123212734,Python
123212734,Excel
123212734,MS SQL
123212734,BigQuery
123537233,SQL
122750913,SQL
122750913,Power BI
122750913,Qlik
122750913,Superset
122750913,Oracle
122750913,Greenplum
122750913,DWH
122750913,ETL
122750913,Jira
122750913,Confluence
123528684,SQL
123528684,PostgreSQL
123528684,Kafka
123231443,SQL
123231443,Python
123231443,Tableau
123231443,Metabase
122752313,Excel
123378101,SQL
123378101,Excel
123378101,MS SQL
123498221,SQL
123498221,Agile
123498221,Jira
123498221,Confluence
120599915,Excel
122383283,Excel
123072295,SQL
123072295,Excel
123072295,Jira
123384766,R
123384766,Power BI
123311757,Python
123311757,AI
122545260,PostgreSQL
122545260,MongoDB
122545260,Redis
122545260,Cassandra
122545260,Agile
122545260,Jira
122545260,Confluence
122545260,Kubernetes
120718987,SQL
120718987,Python
120718987,Power BI
120718987,Tableau
120718987,Excel
120718987,Matplotlib
120718987,Seaborn
120718987,PostgreSQL
120718987,MySQL
120718987,BigQuery
120718987,Airflow
120718987,Yandex Cloud
120718987,Git
120718987,Pandas
120718987,NumPy
120718987,Scikit-learn
123426108,REST API
119085748,SQL
119085748,Python
119085748,Excel
119085748,Математика
123472676,Excel
122593786,Excel
122593786,Google Sheets
123101920,SQL
123101920,Python
123101920,Matplotlib
123101920,Seaborn
123101920,ETL
123101920,Pandas
123101920,NumPy
123433149,SQL
123433149,Python
123433149,R
123433149,Excel
123433149,Google Sheets
122205142,SQL
122205142,Hadoop
122205142,Spark
122205142,Hive
122205142,DWH
123320196,Excel
123143532,SQL
123143532,Python
123143532,Tableau
123143532,Excel
123531563,Excel
122202458,Excel
123514381,Excel
122583676,SQL
122583676,Python
122583676,Tableau
122583676,PostgreSQL
122583676,ClickHouse
122583676,ETL
122680860,SQL
122680860,Python
122680860,Power BI
122680860,Tableau
122680860,Superset
122680860,Matplotlib
122680860,Seaborn
122680860,PostgreSQL
122680860,ClickHouse
122680860,Greenplum
122680860,Pandas
122680860,Scikit-learn
123330722,R
123330722,ML
123330722,Feature Engineering
120292712,SQL
120292712,Python
120292712,Excel
123472637,Scrum
123472637,Kanban
123396389,Excel
123484869,SQL
123484869,Python
123484869,ClickHouse
123484869,Hadoop
123484869,Spark
123484869,Hive
123484869,Airflow
123484869,dbt
123484869,ML
123484869,Jira
123484869,Confluence
123484869,Git
123536791,PostgreSQL
123461902,SQL
123461902,Python
123461902,ClickHouse
123461902,Greenplum
123461902,Spark
123461902,Hive
123461902,DWH
123461902,ETL
123461902,Git
123461902,Linux
123537713,Excel
123435373,SQL
123435373,Power BI
123435373,Tableau
123435373,Excel
123435373,Математика
123495163,SQL
123497194,Excel
123505316,Jira
123505316,Confluence
122274655,1C
122274655,Excel
122359235,Excel
123359407,SQL
123359407,Python
123359407,Power BI
123359407,Matplotlib
123359407,Pandas
123359407,NumPy
123302916,SQL
123302916,Python
123302916,Tableau
123302916,Spark
123302916,dbt
123302916,ML
123302916,Git
121220325,Excel
121220325,Статистика
123467724,Excel
122429954,Python
123186922,Agile
123394648,Power BI
123394648,Excel
122294494,SQL
122294494,Python
122294494,Tableau
122294494,Superset
122294494,ClickHouse
122294494,Spark
122294494,Airflow
122294494,ETL
122294494,ELT
122294494,Docker
123043283,SQL
123043283,Confluence
120403853,SQL
120237081,Excel
123274544,SQL
123274544,Python
123274544,ClickHouse
123428937,Power BI
123428937,Excel
123475361,Power BI
123475361,Tableau
123475361,Excel
123475361,Google Sheets
123327262,SQL
123327262,Tableau
123327262,Qlik
123327262,Excel
123441922,SQL
123441922,Python
123441922,Power BI
123441922,Tableau
123441922,Metabase
123441922,Superset
123441922,ClickHouse
123441922,Greenplum
123441922,Airflow
123441922,ETL
123441922,Git
123441922,Pandas
123441922,NumPy
123531942,Excel
122832928,SQL
122832928,Python
122832928,Tableau
122832928,Looker
122832928,Metabase
122832928,ETL
122832928,ML
122832928,Pandas
122832928,NumPy
122832928,SciPy
122832928,Scikit-learn
122832928,Статистика
123524885,Excel
123529103,Excel
123165000,SQL
123165000,Python
123414728,PostgreSQL
123414728,Oracle
123414728,Kafka
123414728,Agile
123414728,Linux
122410563,SQL
122410563,Python
122410563,R
122410563,Excel
122410563,Математика
122410563,Статистика
122513640,SQL
122513640,Python
122513640,Excel
122513640,ML
123146083,SQL
123146083,Python
123146083,Google Sheets
123146083,Pandas
123427228,SQL
123427228,Python
123427228,Power BI
123427228,Tableau
123427228,Excel
122928259,SQL
123455419,Excel
122542400,SQL
122542400,Python
122542400,R
122542400,Excel
122542400,Google Sheets
122542400,Математика
123216440,SQL
123216440,Jira
123216440,Confluence
123512027,Excel
123216749,Python
123216749,R
123216749,AWS
123216749,GCP
123216749,Machine Learning
123216749,ML
123216749,AI
123216749,NLP
123216749,Docker
123216749,TensorFlow
123216749,PyTorch
123216749,REST API
123414913,Excel
121696400,Power BI
121696400,Tableau
121696400,Excel
123120151,Excel
123328556,SQL
123328556,Power BI
123328556,Tableau
123328556,Metabase
123418756,ClickHouse
123418756,Snowflake
123418756,Redshift
123418756,AWS
123355450,SQL
123355450,Python
123355450,Power BI
123355450,Excel
120863837,SQL
120863837,Python
120863837,ClickHouse
122429414,Excel
123067413,Power BI
